form	lemma	xpostag
#  corpus: MNSZ2
#  hits: 384
#  query: word,[msd="(IK\.)*IGE\.INF[123]?\*?"] 10934260 -2 2 1 [lemma="akar"] 624684 384 384
#  ref: doc#99
#  left_length: 23
#  kwic_length: 1
#  right_length: 9
#  sent: Úgy kerültem a kassai ipariba , hogy mikor eljött a pályaválasztás ideje , akkor megkérdezte tőlem az apám , hogy mi  akarok lenni , és azt mondtam , hogy nem tudom .
Úgy	úgy	[/Adv|Pro]
kerültem	kerül	[/V][Pst.NDef.1Sg]
a	a	[/Det|Art.Def]
kassai	kassai	[/Adj][Nom]
ipariba	ipari	[/Adj][Ill]
,	,	[Punct]
hogy	hogy	[/Cnj]
mikor	mikor	[/Adv|Pro|Int]
eljött	eljön	[/V][Pst.NDef.3Sg]
a	a	[/Det|Art.Def]
pályaválasztás	pályaválasztás	[/N][Nom]
ideje	idő	[/N][Poss.3Sg][Nom]
,	,	[Punct]
akkor	akkor	[/Adv|Pro]
megkérdezte	megkérdez	[/V][Pst.Def.3Sg]
tőlem	én	[/N|Pro][Abl][1Sg]
az	az	[/Det|Art.Def]
apám	apa	[/N][Poss.1Sg][Nom]
,	,	[Punct]
hogy	hogy	[/Cnj]
mi	mi	[/N|Pro|Int][Nom]
akarok	akar	[/V][Prs.NDef.1Sg]
lenni	lesz	[/V][Inf]
,	,	[Punct]
és	és	[/Cnj]
azt	az	[/Det|Pro][Acc]
mondtam	mond	[/V][Pst.Def.1Sg]
,	,	[Punct]
hogy	hogy	[/Cnj]
nem	nem	[/Adv]
tudom	tud	[/V][Prs.Def.1Sg]
.	.	[Punct]
#  ref: doc#131
#  left_length: 4
#  kwic_length: 1
#  right_length: 17
#  sent: - Meg  akarom nyugtatni a tábornok vőmet , hogy nem fenyegeti veszély sem a vagyonát , sem a családja hírnevét .
-	-	[Punct]
Meg	meg	[/Prev]
akarom	akar	[/V][Prs.Def.1Sg]
nyugtatni	nyugtat	[/V][Inf]
a	a	[/Det|Art.Def]
tábornok	tábornok	[/N][Nom]
vőmet	vő	[/N][Poss.1Sg][Acc]
,	,	[Punct]
hogy	hogy	[/Cnj]
nem	nem	[/Adv]
fenyegeti	fenyeget	[/V][Prs.Def.3Sg]
veszély	veszély	[/N][Nom]
sem	sem	[/Adv]
a	a	[/Det|Art.Def]
vagyonát	vagyon	[/N][Poss.3Sg][Acc]
,	,	[Punct]
sem	sem	[/Cnj]
a	a	[/Det|Art.Def]
családja	család	[/N][Poss.3Sg][Nom]
hírnevét	hírnév	[/N][Poss.3Sg][Acc]
.	.	[Punct]
#  ref: doc#193
#  left_length: 3
#  kwic_length: 1
#  right_length: 8
#  sent: Vagy talán csak tudni akarta  : milyen is egy hágó ?
Vagy	vagy	[/Cnj]
talán	talán	[/Adv]
csak	csak	[/Adv]
tudni	tud	[/V][Inf]
akarta	akar	[/V][Pst.Def.3Sg]
:	:	[Punct]
milyen	milyen	[/Adj|Pro|Int][Nom]
is	is	[/Adv]
egy	egy	[/Det|Art.NDef]
hágó	hágó	[/N][Nom]
?	?	[Punct]
#  ref: doc#249
#  left_length: 6
#  kwic_length: 1
#  right_length: 47
#  sent: ( Nem  akarnék  úgy járni , mint az :) A férfi ( , aki ) 49-ben lement vásárolni , és első verzió : soha többé nem jött vissza , második verzió : 23 forintért megvett mindent , s azóta pöröl a feleségével , hogy az miért nem képes ennyiből : kijönni ...
(	(	[Punct]
Nem	nem	[/Adv]
akarnék	akar	[/V][Cond.NDef.1Sg]
úgy	úgy	[/Adv|Pro]
járni	jár	[/V][Inf]
,	,	[Punct]
mint	mint	[/Cnj]
az	az	[/Det|Art.Def]
:)	:)	[/N][Nom]
A	a	[/Det|Art.Def]
férfi	férfi	[/N][Nom]
(	(	[Punct]
,	,	[Punct]
aki	aki	[/N|Pro|Rel][Nom]
)	)	[Punct]
49-ben	49	[/Num|Digit][Ine]
lement	lemegy	[/V][Pst.NDef.3Sg]
vásárolni	vásárol	[/V][Inf]
,	,	[Punct]
és	és	[/Cnj]
első	egy	[/Num][_Ord/Adj][Nom]
verzió	verzió	[/N][Nom]
:	:	[Punct]
soha	soha	[/Adv]
többé	többé	[/Adv]
nem	nem	[/Adv]
jött	jön	[/V][Pst.NDef.3Sg]
vissza	vissza	[/Prev]
,	,	[Punct]
második	kettő	[/Num][_Ord/Adj][Nom]
verzió	verzió	[/N][Nom]
:	:	[Punct]
23	23	[/Num|Digit][Nom]
forintért	forint	[/N][Cau]
megvett	megvett	[/Adj][Nom]
mindent	minden	[/N|Pro][Acc]
,	,	[Punct]
s	s	[/Cnj]
azóta	azóta	[/Adv|Pro]
pöröl	pöröl	[/V][Prs.NDef.3Sg]
a	a	[/Det|Art.Def]
feleségével	feleség	[/N][Poss.3Sg][Ins]
,	,	[Punct]
hogy	hogy	[/Cnj]
az	az	[/Det|Art.Def]
miért	miért	[/Adv|Pro|Int]
nem	nem	[/Adv]
képes	képes	[/Adj][Nom]
ennyiből	ennyi	[/Adj][Ela]
:	:	[Punct]
kijönni	kijön	[/V][Inf]
...	...	[Punct]
#  ref: doc#259
#  left_length: 9
#  kwic_length: 1
#  right_length: 3
#  sent: Valentin úr moccanni se mer , nem  akarja megzavarni a produkciót .
Valentin	Valentin	[/N][Nom]
úr	úr	[/N][Nom]
moccanni	moccan	[/V][Inf]
se	se	[/Adv]
mer	mer	[/V][Prs.NDef.3Sg]
,	,	[Punct]
nem	nem	[/Adv]
akarja	akar	[/V][Prs.Def.3Sg]
megzavarni	megzavar	[/V][Inf]
a	a	[/Det|Art.Def]
produkciót	produkció	[/N][Acc]
.	.	[Punct]
#  ref: doc#259
#  left_length: 9
#  kwic_length: 1
#  right_length: 12
#  sent: Csak este döbbentem rá , amikor le  akartam játszani a szonátát , hogy elromlott a fölvétel , megzavarja a beszélgetésetek .
Csak	csak	[/Adv]
este	este	[/Adv]
döbbentem	döbben	[/V][Pst.NDef.1Sg]
rá	ő	[/N|Pro][Subl][3Sg]
,	,	[Punct]
amikor	amikor	[/Adv|Pro|Rel]
le	le	[/Prev]
akartam	akar	[/V][Pst.Def.1Sg]
játszani	játszik	[/V][Inf]
a	a	[/Det|Art.Def]
szonátát	szonáta	[/N][Acc]
,	,	[Punct]
hogy	hogy	[/Cnj]
elromlott	elromlik	[/V][Pst.NDef.3Sg]
a	a	[/Det|Art.Def]
fölvétel	fölvétel	[/N][Nom]
,	,	[Punct]
megzavarja	megzavar	[/V][Prs.Def.3Sg]
a	a	[/Det|Art.Def]
beszélgetésetek	beszélgetés	[/N][Poss.2Pl][Nom]
.	.	[Punct]
#  ref: doc#342
#  left_length: 14
#  kwic_length: 1
#  right_length: 12
#  sent: Ahogy Bellow írja : " Amikor a halottak elvonulnak előtte , utánuk  akar kiáltani , ők azonban eltűnnek az arcok , a lelkek fekete fellegeiben .
Ahogy	ahogy	[/Adv|Pro|Rel]
Bellow	Bellow	[/N][Nom]
írja	ír	[/V][Prs.Def.3Sg]
:	:	[Punct]
"	"	[Punct]
Amikor	amikor	[/Adv|Pro|Rel]
a	a	[/Det|Art.Def]
halottak	halott	[/N][Pl][Nom]
elvonulnak	elvonul	[/V][Prs.NDef.3Pl]
előtte	előtt	[/Post][3Sg]
,	,	[Punct]
utánuk	után	[/Post][3Pl]
akar	akar	[/V][Prs.NDef.3Sg]
kiáltani	kiált	[/V][Inf]
,	,	[Punct]
ők	ők	[/N|Pro][3Pl][Nom]
azonban	azonban	[/Cnj]
eltűnnek	eltűnik	[/V][Prs.NDef.3Pl]
az	az	[/Det|Art.Def]
arcok	arc	[/N][Pl][Nom]
,	,	[Punct]
a	a	[/Det|Art.Def]
lelkek	lélek	[/N][Pl][Nom]
fekete	fekete	[/Adj][Nom]
fellegeiben	felleg	[/N][Pl.Poss.3Sg][Ine]
.	.	[Punct]
#  ref: doc#369
#  left_length: 8
#  kwic_length: 1
#  right_length: 4
#  sent: - Azért engem mégse  akartak  petróleummal felgyújtani a nagy butaságomért ...
-	-	[Punct]
Azért	azért	[/Adv|Pro]
engem	én	[/N|Pro][1Sg][Acc]
mégse	mégse	[/Adv]
akartak	akar	[/V][Pst.NDef.3Pl]
petróleummal	petróleum	[/N][Ins]
felgyújtani	felgyújt	[/V][Inf]
a	a	[/Det|Art.Def]
nagy	nagy	[/Adj][Nom]
butaságomért	butaság	[/N][Poss.1Sg][Cau]
...	...	[Punct]
#  ref: doc#373
#  left_length: 8
#  kwic_length: 1
#  right_length: 5
#  sent: - Itt a. .. - francot  akart mondani , de idejében szelídített .
-	-	[Punct]
Itt	itt	[/Adv|Pro]
a.	a	[/N][Nom][Punct]
..	..	[Punct]
-	-	[Punct]
francot	franc	[/N][Acc]
akart	akar	[/V][Pst.NDef.3Sg]
mondani	mond	[/V][Inf]
,	,	[Punct]
de	de	[/Cnj]
idejében	idő	[/N][Poss.3Sg][Ine]
szelídített	szelídített	[/Adj][Nom]
.	.	[Punct]
#  ref: doc#435
#  left_length: 8
#  kwic_length: 1
#  right_length: 6
#  sent: Csakugyan : miért ne  akarjunk  úgy élni , ahogy azt normálisnak tartjuk ?
Csakugyan	csakugyan	[/Adv]
:	:	[Punct]
miért	miért	[/Adv|Pro|Int]
ne	ne	[/Adv]
akarjunk	akar	[/V][Sbjv.NDef.1Pl]
úgy	úgy	[/Adv|Pro]
élni	él	[/V][Inf]
,	,	[Punct]
ahogy	ahogy	[/Adv|Pro|Rel]
azt	az	[/Det|Pro][Acc]
normálisnak	normális	[/Adj][Dat]
tartjuk	tart	[/V][Prs.Def.1Pl]
?	?	[Punct]
#  ref: doc#437
#  left_length: 6
#  kwic_length: 1
#  right_length: 31
#  sent: A nőt előbb be  akarták vinni a számonkérés székházába , hogy némileg megkínozzák , megerőszakolják , és élve vagy halva kidobják , de a földön térdelt , és nézte Imre bácsi fejét a két vállára támaszkodva .
A	a	[/Det|Art.Def]
nőt	nő	[/N][Acc]
előbb	előbb	[/Adv]
be	be	[/Prev]
akarták	akar	[/V][Pst.Def.3Pl]
vinni	visz	[/V][Inf]
a	a	[/Det|Art.Def]
számonkérés	számonkérés	[/N][Nom]
székházába	székház	[/N][Poss.3Sg][Ill]
,	,	[Punct]
hogy	hogy	[/Cnj]
némileg	némileg	[/Adv]
megkínozzák	megkínoz	[/V][Prs.Def.3Pl]
,	,	[Punct]
megerőszakolják	megerőszakol	[/V][Sbjv.Def.3Pl]
,	,	[Punct]
és	és	[/Cnj]
élve	él	[/V][_AdvPtcp/Adv]
vagy	vagy	[/Cnj]
halva	hal	[/V][_AdvPtcp/Adv]
kidobják	kidob	[/V][Prs.Def.3Pl]
,	,	[Punct]
de	de	[/Cnj]
a	a	[/Det|Art.Def]
földön	föld	[/N][Supe]
térdelt	térdel	[/V][Pst.NDef.3Sg]
,	,	[Punct]
és	és	[/Cnj]
nézte	néz	[/V][Pst.Def.3Sg]
Imre	Imre	[/N][Nom]
bácsi	bácsi	[/N][Nom]
fejét	fej	[/N][Poss.3Sg][Acc]
a	a	[/Det|Art.Def]
két	két	[/Num|Attr][Nom]
vállára	váll	[/N][Poss.3Sg][Subl]
támaszkodva	támaszkodik	[/V][_AdvPtcp/Adv]
.	.	[Punct]
#  ref: doc#478
#  left_length: 24
#  kwic_length: 1
#  right_length: 3
#  sent: - Teli a kancsót a legjobb borból , és keltsd fel a szakácsnét , hogy villásfrüstököt csináljon , mert a gombaszedő emberrel  akarok mulatni és vacsorálni !
-	-	[Punct]
Teli	teli	[/Adj][Nom]
a	a	[/Det|Art.Def]
kancsót	kancsó	[/N][Acc]
a	a	[/Det|Art.Def]
legjobb	jó	[/Supl][/Adj][_Comp/Adj][Nom]
borból	bor	[/N][Ela]
,	,	[Punct]
és	és	[/Cnj]
keltsd	kelt	[/V][Sbjv.Def.2Sg]
fel	fel	[/Prev]
a	a	[/Det|Art.Def]
szakácsnét	szakácsné	[/N][Acc]
,	,	[Punct]
hogy	hogy	[/Cnj]
villásfrüstököt	villásfrüstök	[/N][Acc]
csináljon	csinál	[/V][Sbjv.NDef.3Sg]
,	,	[Punct]
mert	mert	[/Cnj]
a	a	[/Det|Art.Def]
gombaszedő	gombaszedő	[/Adj][Nom]
emberrel	ember	[/N][Ins]
akarok	akar	[/V][Prs.NDef.1Sg]
mulatni	mulat	[/V][Inf]
és	és	[/Cnj]
vacsorálni	vacsorál	[/V][Inf]
!	!	[Punct]
#  ref: doc#483
#  left_length: 8
#  kwic_length: 1
#  right_length: 12
#  sent: Nincsen neki senkije , akinek járóbabát  akarna venni meg ruhát , és semmilyen háznak a kerítését nem akarja megcsináltatni .
Nincsen	nincs	[/V][Prs.NDef.3Sg]
neki	neki	[/Adv]
senkije	senki	[/N|Pro][Poss.3Sg][Nom]
,	,	[Punct]
akinek	aki	[/N|Pro|Rel][Dat]
járóbabát	járóbaba	[/N][Acc]
akarna	akar	[/V][Cond.NDef.3Sg]
venni	vesz	[/V][Inf]
meg	meg	[/Cnj]
ruhát	ruha	[/N][Acc]
,	,	[Punct]
és	és	[/Cnj]
semmilyen	semmilyen	[/Adj|Pro][Nom]
háznak	ház	[/N][Dat]
a	a	[/Det|Art.Def]
kerítését	kerítés	[/N][Poss.3Sg][Acc]
nem	nem	[/Adv]
akarja	akar	[/V][Prs.Def.3Sg]
megcsináltatni	megcsinál	[/V][_Caus/V][Inf]
.	.	[Punct]
#  ref: doc#489
#  left_length: 24
#  kwic_length: 1
#  right_length: 33
#  sent: Csakhogy esze ágában sem volt ezt a verset szabályosan és régiesen megzengetni , mert tudta vagy érezte ( mindegy ) , hogy azt a felengedni nem  akaró  tartózkodást , azt az örömmel szembeni gyanakvó ellenállást , amelyet az idegeiben hordozott , és a vers tartalmába belerejtett , nyomban agyoncsapja , meghamisítja bármilyen konvencionális zenei simasággal .
Csakhogy	csakhogy	[/Cnj]
esze	ész	[/N][Poss.3Sg][Nom]
ágában	ág	[/N][Poss.3Sg][Ine]
sem	sem	[/Adv]
volt	van	[/V][Pst.NDef.3Sg]
ezt	ez	[/Det|Pro][Acc]
a	a	[/Det|Art.Def]
verset	vers	[/N][Acc]
szabályosan	szabályos	[/Adj][_Manner/Adv]
és	és	[/Cnj]
