# Frequency list

# Corpus: MNSZ2
# Query:  word,(meet [lemma="bír" & msd="(IK\.)*IGE.*"] [msd="(IK\.)*IGE\.INF[123]?\*?"] -2 2) 30642

# Frequency limit: 0


word	Freq	
-------------------------------------------------------
bírni	8104	
bír	3212	
bírtam	3077	
bírta	2368	
bírt	2090	
bírom	2090	
bírja	1867	
bírok	1312	
bírják	1155	
bírnak	653	
bírták	607	
bírod	522	
bírtak	414	
bírjuk	373	
bírsz	321	
bírunk	262	
bírnám	218	
bírtuk	163	
bírna	162	
bírnék	152	
bírná	148	
bírtunk	140	
bíró	125	
bírtok	105	
Bírsz	94	
Bírni	92	
bírjon	73	
bírtad	65	
bírlak	63	
bírjátok	57	
bírtál	50	
bírnánk	49	
bírván	45	
bírjak	42	
bírnák	40	
bírjam	38	
bírnának	35	
bírnál	20	
bírnád	18	
Bíró	18	
bírva	17	
bírjunk	17	
BÍRNI	12	
bírjanak	11	
bírd	11	
bírókat	8	
Bírom	8	
Bírok	8	
Bírnád	8	
BÍRJÁTOK	8	
bírtátok	7	
bírtalak	7	
BÍRJA	6	
bírtatok	5	
bírnátok	5	
bírj	5	
Bírja	5	
bírnálak	4	
Bírnék	4	
bírónak	3	
bírnia	3	
bírtja	2	
bírnók	2	
bírjatok	2	
Bírod	2	
Bírnak	2	
Bírjátok	2	
Bírják	2	
Bírjuk	2	
BÍROM	2	
BÍROK	2	
BÍRJÁK	2	
bíróvá	1	
bírókhoz	1	
bírók	1	
bírnunk	1	
bírnom	1	
bírniuk	1	
bírjál	1	
bírjalak	1	
bírjad	1	
Bírtunk	1	
Bírtak	1	
Bírnám	1	
Bírná	1	
Bír	1	
BÍRTUK	1	
BÍRTAM	1	
BÍRNAK	1	
BÍRJUK	1	
BÍR	1	

