# Frequency list

# Corpus: MNSZ2
# Query:  word,(meet [lemma="kíván" & msd="(IK\.)*IGE\.(_HAT\.)?[TI]?[MPF]?[et]?[123]?"] [msd="(IK\.)*IGE\.INF[123]?\*?"] -2 2) 192678

# Frequency limit: 0


word	Freq	
-------------------------------------------------------
kíván	59490	
kívánja	40597	
kívánják	16628	
kívánnak	14385	
kívánt	12357	
kívánta	10465	
kívánok	7647	
kívánjuk	6444	
kívánunk	5517	
kívánom	5235	
kívánták	3801	
kívántak	2945	
kívántam	2107	
kívánna	767	
kívántuk	642	
kívánná	534	
kívántunk	426	
kívánnék	426	
kívánsz	349	
Kíván	296	
kívánod	236	
kívánnák	233	
kívánnánk	226	
kívánnám	189	
kívánnának	177	
Kívánom	62	
Kívánja	51	
Kívánok	50	
kívántok	39	
kívánjátok	35	
kívánjon	34	
kívánlak	26	
Kívánnak	23	
kíván-	19	
kívántalak	17	
Kívánod	15	
kívántál	14	
KÍVÁNJÁK	14	
kívánjanak	13	
KÍVÁNOM	13	
kívánnál	12	
Kívánják	11	
kívánjak	9	
kívánj	9	
Kívánunk	9	
kívánjunk	8	
KÍVÁNJA	7	
kívántad	6	
Kívánjuk	6	
kívánjam	5	
KÍVÁNOK	5	
Kívánták	4	
KÍVÁN	4	
kívánnád	3	
kívánd	3	
Kívántam	3	
kívánja-	2	
Kívánsz	2	
Kívánlak	2	
KÍVÁNT	2	
KÍVÁNNAK	2	
KÍVÁNJUK	2	
kívántátok	1	
kívánták-	1	
kívánom-	1	
kívánok-	1	
kívánnak-	1	
kívánjál	1	
kívánják-	1	
kívánjatok	1	
Kívántunk	1	
Kívánta	1	
Kívánnám	1	
Kívánnád	1	
Kívánjunk	1	
Kívánjon	1	
Kívánjatok	1	
KÍVÁNUNK	1	
KÍVÁNTÁL	1	
KÍVÁNNÁK	1	

