# Frequency list

# Corpus: MNSZ2
# Query:  word,(meet [lemma="mer" & msd="(IK\.)*IGE\.(_HAT\.)?[TI]?[MPF]?[et]?[123]?"] [msd="(IK\.)*IGE\.INF[123]?\*?"] -2 2) 63729

# Frequency limit: 0


word	Freq	
-------------------------------------------------------
mer	7313	
merem	5917	
mert	5620	
mertem	4978	
meri	4942	
merte	4497	
mernek	3994	
merek	3492	
mertek	2820	
merik	2735	
merték	1682	
mernék	1424	
merjük	1332	
merném	1089	
mersz	1067	
merünk	978	
merne	745	
mertünk	660	
Mert	622	
merjen	614	
merné	609	
merjünk	570	
mertük	528	
Merj	497	
Merem	407	
merjenek	402	
merj	358	
merje	354	
mernének	257	
mertél	245	
Merjünk	226	
merjek	218	
mernénk	212	
merjék	210	
mered	204	
merd	194	
merjem	190	
Mer	132	
merted	128	
mernél	104	
merjetek	104	
meritek	96	
Merjük	93	
Merd	60	
mernéd	59	
Merjetek	45	
merjétek	42	
Mernék	39	
MERT	34	
mertelek	32	
merlek	30	
merjél	28	
MER	27	
Merjen	24	
mertétek	22	
mernétek	20	
Merjem	19	
Mertem	18	
Mernek	18	
Meri	18	
MERNEK	18	
MERJ	17	
Merünk	16	
Mertek	16	
Merjenek	16	
Merjétek	15	
Merje	13	
MERTE	13	
MERJÉTEK	12	
Mertünk	11	
Mersz	11	
Merek	11	
Mernéd	10	
Merném	9	
Merjél	9	
Merjed	9	
Merte	8	
Merné	8	
Merjek	8	
Merik	8	
Mered	8	
MERTEK	8	
MERJÜNK	7	
MEREM	7	
Merne	6	
mernélek	5	
Mertél	5	
MERIK	5	
MERITEK	4	
merjelek	3	
merjed	3	
Mernél	3	
Merjék	3	
MERTÉK	3	
MERI	3	
merek-	2	
Mertük	2	
Merték	2	
Merlek	2	
MERTÜNK	2	
MEREK	2	
meri-	1	
Mernétek	1	
Mernének	1	
MERTEM	1	
MERSZ	1	
MERNÉL	1	
MERNE	1	
MERJÜK	1	
MERJEN	1	
MERJE	1	
MERED	1	
MERD	1	

