# Frequency list

# Corpus: MNSZ2
# Query:  word,(meet [lemma="szándékozik" & msd="(IK\.)*IGE.*"] [msd="(IK\.)*IGE\.INF[123]?\*?"] -2 2) 14213

# Frequency limit: 0


word	Freq	
-------------------------------------------------------
szándékozik	3797	
szándékozó	2972	
szándékozott	1540	
szándékoznak	1441	
szándékozók	1021	
szándékozom	492	
szándékoztak	414	
szándékozunk	349	
szándékszik	289	
szándékoztam	268	
szándékozókat	236	
szándékozóknak	222	
szándékozzátok	112	
szándékozta	99	
szándékozzák	84	
szándékoztunk	75	
szándékozták	73	
szándékozol	62	
szándékozót	57	
szándékozna	56	
szándékozza	53	
szándékszom	44	
szándékoztok	44	
szándékozókkal	37	
szándékozok	32	
szándékozzuk	27	
szándékoznának	25	
szándékozónak	22	
szándékozóktól	18	
szándékozván	18	
szándékozókra	17	
szándékozva	15	
szándékoztuk	15	
szándékoznánk	12	
szándékszunk	11	
szándékoznék	11	
szándékozná	11	
szándékszol	10	
szándékoztál	10	
szándékozni	10	
szándékozótól	8	
szándékozod	8	
szándékszanak	7	
Szándékoznak	7	
szándékozóra	6	
szándékozókhoz	6	
szándékoznák	6	
Szándékozik	6	
szándékozóval	5	
szándékozlak	5	
szándékozóról	4	
szándékoznám	4	
szándékozókról	3	
szándékozóhoz	3	
SZÁNDÉKOZÓ	3	
szándékozókból	2	
szándékozottakat	2	
szándékozottak	2	
Szándékozunk	2	
Szándékoztam	2	
szándékozónál	1	
szándékozókét	1	
szándékozóként	1	
szándékozóké	1	
szándékozóknak-	1	
szándékozójuk	1	
szándékozóban	1	
szándékozzék	1	
szándékozzon	1	
szándékoztalak	1	
szándékoztad	1	
szándékozottnak	1	
szándékozotthoz	1	
szándékozik-	1	
szándékozandó	1	
Szándékszik	1	
Szándékozom	1	
Szándékozok	1	
SZÁNDÉKOZÓKAT	1	
SZÁNDÉKOZTÁK	1	
SZÁNDÉKOZNAK	1	

