# Frequency list

# Corpus: MNSZ2
# Query:  word,(meet [lemma="tud" & msd="(IK\.)*IGE\.(_HAT\.)?[TI]?[MPF]?[et]?[123]?"] [msd="(IK\.)*IGE\.INF[123]?\*?"] -2 2) 1315296

# Frequency limit: 0


word	Freq	
-------------------------------------------------------
tud	172628	
tudja	128628	
tudott	88818	
tudom	88534	
tudnak	87568	
tudják	82792	
tudok	79266	
tudta	71468	
tudjuk	70720	
tudunk	66277	
tudtam	44834	
tudták	39640	
tudtak	38117	
tudod	29118	
tudsz	27321	
tudna	25412	
tudjon	17448	
tudná	13847	
tudjanak	13348	
tudtunk	12802	
tudtuk	12264	
tudnám	11861	
tudnék	10934	
tudjunk	10741	
tudnánk	9497	
tudnának	6752	
tudtok	6062	
tudnák	5703	
tudjak	5337	
tudjam	3959	
tudjátok	3379	
tudnál	2698	
tudnátok	2219	
tudnád	2018	
Tudom	1941	
tudtál	1669	
tudlak	1547	
tudd	1505	
tudtad	1275	
tudj	1265	
tudtatok	1227	
Tud	1132	
Tudsz	821	
Tudod	812	
Tudok	710	
tudjál	638	
Tudjuk	586	
Tudnátok	569	
Tudja	553	
Tudnak	526	
Tudunk	488	
Tudna	453	
tudjatok	402	
Tudtok	349	
Tudnál	288	
Tudnának	285	
Tudtam	258	
Tudnék	251	
tudnálak	240	
Tudják	231	
TUD	221	
Tudott	206	
TUDOM	204	
Tudta	168	
tudtalak	161	
TUDOK	153	
tudtátok	137	
TUDUNK	132	
Tudnám	117	
Tudjátok	110	
TUDNAK	100	
tudjalak	92	
Tudjon	90	
TUDJA	87	
TUDSZ	85	
Tudtuk	68	
Tudd	62	
TUDJUK	60	
Tudj	57	
Tudták	55	
TUDTOK	55	
tudjad	54	
Tudtak	52	
TUDJUNK	52	
Tudtad	49	
TUDOD	43	
TUDNA	31	
TUDJÁK	31	
Tudjunk	30	
Tudtunk	27	
Tudtál	25	
Tudnánk	25	
TUDTAM	22	
Tudná	21	
Tudnád	20	
Tudjak	20	
Tudjanak	19	
TUDTA	18	
TUDJÁTOK	18	
TUDTAK	17	
TUDTUNK	16	
TUDTÁK	15	
tudok-	13	
tudja-	13	
TUDJÁL	13	
TUDNÁNK	12	
TUDJANAK	12	
tud-	11	
Tudnálak	9	
TUDOTT	9	
TUDOD-	9	
TUDNÉK	9	
TUDNÁ	9	
Tudjatok	7	
TUDNÁM	7	
Tudjál	6	
TUDNÁNAK	6	
TUDNÁL	6	
TUDNÁD	6	
TUDJON	6	
tudnak-	5	
Tudtatok	5	
TUDNÁTOK	5	
TUDNÁK	5	
TUDLAK	5	
TUDJAK	5	
tudom-	4	
Tudnák	4	
TUDJ	4	
tudunk-	3	
tudjuk-	3	
Tudtátok	3	
Tudlak	3	
Tudjam	3	
TUDTÁL	3	
tudsz-	2	
tudok.-	2	
tudnám-	2	
tudják-	2	
Tudod-	2	
TUDD	2	
tudtak-	1	
tudjon.-	1	
tudjanak.-	1	
Tudja-	1	
TUDJAM	1	

