# Frequency list

# Corpus: MNSZ2
# Query:  word,(meet [lemma="utál" & msd="(IK\.)*IGE.*"] [msd="(IK\.)*IGE\.INF[123]?\*?"] -2 2) 3058

# Frequency limit: 0


word	Freq	
-------------------------------------------------------
utálni	1546	
utálok	363	
utál	212	
Utálok	164	
utálnak	102	
utálom	88	
Utálom	85	
utáltam	76	
utált	73	
utálsz	54	
Utál	43	
Utálni	31	
utálja	28	
Utáltam	28	
utálta	17	
utálunk	12	
utálják	11	
utálnám	10	
Utált	10	
UTÁLNI	10	
utálod	8	
utáljuk	7	
utáltál	6	
utáltak	6	
utálnék	6	
Utáljuk	6	
Utálsz	5	
Utállak	5	
utállak	4	
Utálunk	4	
Utálta	4	
utáltok	3	
Utálja	3	
utálót	2	
utáló	2	
utáltunk	2	
utálna	2	
Utálnék	2	
Utálná	2	
Utálnak	2	
UTÁLOM	2	
UTÁLOK	2	
utálókat	1	
utálók	1	
utálták	1	
utálnának	1	
utálná	1	
Utálták	1	
Utáltuk	1	
Utálnám	1	
Utálják	1	
UTÁLSZ	1	

