# Frequency list

# Corpus: MNSZ2
# Query:  word,(meet [lemma="vágyik" & msd="(IK\.)*IGE.*"] [msd="(IK\.)*IGE\.INF[123]?\*?"] -2 2) 9796

# Frequency limit: 0


word	Freq	
-------------------------------------------------------
vágyó	3457	
vágyók	1726	
vágyókat	1281	
vágyóknak	642	
vágyni	410	
vágyott	355	
vágyik	299	
vágyom	280	
vágytam	176	
vágyót	160	
vágysz	115	
vágynak	100	
vágyunk	85	
vágyva	83	
vágyok	77	
vágyónak	52	
vágytak	47	
vágyna	47	
vágyókkal	29	
vágynék	29	
vágyván	26	
vágyókra	22	
vágyjunk	21	
Vágyom	21	
vágyta	20	
vágyóktól	17	
Vágyni	13	
Vágytam	11	
vágytok	10	
vágytunk	9	
vágylak	9	
Vágynia	9	
vágyod	8	
VÁGYÓK	8	
VÁGYÓ	8	
vágynánk	7	
Vágyott	7	
Vágyik	7	
vágynának	6	
vágyjuk	6	
Vágynám	6	
vágyókról	5	
vágyókon	5	
vágyókhoz	5	
vágyótól	4	
vágyóra	4	
vágyókban	4	
vágynám	4	
VÁGYÓT	4	
vágyóval	3	
vágytalak	3	
vágyja	3	
Vágyót	3	
VÁGYÓKNAK	3	
vágyóké	2	
vágyókból	2	
vágyottnak	2	
vágyná	2	
vágyjék	2	
vágyjon	2	
Vágyók	2	
VÁGYÓKAT	2	
vágyóknál	1	
vágyókig	1	
vágyókat.-	1	
vágyója	1	
vágyói	1	
vágyóbb	1	
vágyóban	1	
vágyó-	1	
vágytál	1	
vágyták	1	
vágytatok	1	
vágytad	1	
vágyottból	1	
vágyottat	1	
vágynunk	1	
vágyják	1	
vágyjanak	1	
vágyjak	1	
vágyj	1	
Vágyó	1	
Vágyva	1	
Vágyunk	1	
Vágytál	1	
Vágytunk	1	
Vágytok	1	
Vágyjuk	1	
VÁGYSZ	1	
VÁGYOM	1	
VÁGYIK	1	

