# Frequency list

# Corpus: MNSZ2
# Query:  word,(meet [lemma="vonakodik" & msd="(IK\.)*IGE\.(_HAT\.)?[TI]?[MPF]?[et]?[123]?"] [msd="(IK\.)*IGE\.INF[123]?\*?"] -2 2) 1164

# Frequency limit: 0


word	Freq	
-------------------------------------------------------
vonakodik	420	
vonakodott	277	
vonakodnak	207	
vonakodtak	131	
vonakodj	26	
vonakodunk	17	
vonakodna	16	
vonakodom	14	
vonakodnának	12	
vonakodtam	7	
vonakodnék	7	
vonakodtok	4	
vonakodtunk	3	
vonakodnánk	3	
Vonakodik	3	
vonakodtál	2	
vonakodsz	2	
Vonakodunk	2	
Vonakodtam	2	
Vonakodom	2	
Vonakodnak	2	
vonakodjék	1	
vonakodjatok	1	
Vonakodtunk	1	
Vonakodtak	1	
Vonakodott	1	

