# Frequency list

# Corpus: MNSZ2
# Query:  word,(meet [lemma="vonakodik" & msd="(IK\.)*IGE.*"] [msd="(IK\.)*IGE\.INF[123]?\*?"] -2 2) 1291

# Frequency limit: 0


word	Freq	
-------------------------------------------------------
vonakodik	420	
vonakodott	289	
vonakodnak	207	
vonakodtak	131	
vonakodó	54	
vonakodni	32	
vonakodj	26	
vonakodunk	17	
vonakodva	16	
vonakodna	16	
vonakodom	14	
vonakodnának	12	
vonakodtam	7	
vonakodnék	7	
vonakodtok	4	
vonakodót	3	
vonakodókat	3	
vonakodtunk	3	
vonakodnánk	3	
Vonakodik	3	
vonakodtál	2	
vonakodsz	2	
Vonakodva	2	
Vonakodunk	2	
Vonakodtam	2	
Vonakodom	2	
Vonakodnak	2	
vonakodóké	1	
vonakodók	1	
vonakodóbbak	1	
vonakodóbb	1	
vonakodjék	1	
vonakodjatok	1	
Vonakodtunk	1	
Vonakodtak	1	
Vonakodott	1	
Vonakodni	1	

